generation,best_f1,mean_f1,std_f1,elapsed_time
0,0.9210622888857962,0.5261069833692071,0.4290771742309514,110.07452249526978
1,0.9212017255972789,0.8943183657853894,0.03628137753908555,177.01463627815247
2,0.9234122041364268,0.8925592130082949,0.027824271164000172,239.60999393463135
3,0.9254065321206593,0.9123159974240549,0.01047593953874482,336.1477870941162
4,0.9280729601892549,0.9102491336280965,0.01697769953188775,479.59341192245483
5,0.9298452214609598,0.887160984639999,0.04865057984429359,588.4146475791931
6,0.9329904202406386,0.8980228674878471,0.03773705326867551,654.3809370994568
7,0.9241926785446768,0.8976812211104588,0.018126830196372824,726.0226595401764
8,0.9281590483575826,0.8944241451833151,0.04012194143892154,862.3270156383514
9,0.9295097072358116,0.9076327127552397,0.02439846336637997,1007.2384757995605
10,0.9288413843086621,0.9080464041044198,0.01740989826872063,1156.2329337596893
11,0.9337588213536314,0.9088625934641223,0.017906782064199368,1295.7375144958496
12,0.9329153642284238,0.8369010556405133,0.21289289343226278,1442.3067708015442
13,0.9267456044883122,0.9023499761943099,0.017436921492435534,1590.3448023796082
14,0.9288160280388718,0.8929957409464536,0.042403279960882084,1675.4333906173706
15,0.9261183599195336,0.9053224024237739,0.02008019353848902,1742.9321784973145
16,0.9294111720949123,0.9056443279041,0.024038234596142457,1811.1366679668427
